id,playtime_forever
0,2.1119849148693044
1,2.679706689497822
2,1.0362743024992058
3,0.3358348662307487
4,9.162533990421947
5,0.7697069007424752
6,1.9058055634052056
7,0.19639676341335707
8,2.3194234343612576
9,0.4427202705605462
10,1.5867026610806503
11,0.8812052829303707
12,4.312151998235182
13,1.9679548659480406
14,3.4121400893081852
15,0.3514510260580237
16,1.6166732052829973
17,1.2061923592146355
18,0.6172013540530079
19,0.6328791710044603
20,0.6180482293653868
21,1.4405726391330016
22,1.254525764951781
23,1.085975529490308
24,0.592766501086101
25,2.6265650588426235
26,1.1307529243638927
27,1.4612700428311873
28,1.133480130175396
29,1.6330259128327924
30,1.6358414662604015
31,16.981854355506826
32,0.5461461314681513
33,1.2186447173666082
34,1.9819556420675977
35,0.4240088098571011
36,1.6361463178356863
37,8.39106201170167
38,1.6668697096599803
39,0.4959208096753095
40,1.3354184274546135
41,1.1754819792457787
42,1.958697803716693
43,1.262851023882094
44,0.7143869954519988
45,3.5266282012915675
46,1.2916672519098598
47,0.48246890602214654
48,1.2840882778471108
49,6.100375344673689
50,1.9027969571791203
51,1.5322441205370951
52,1.8635229194428358
53,0.6019760541190246
54,3.809561457081349
55,2.673268303864195
56,3.0685807863405943
57,1.7034514534198117
58,0.4869052381249299
59,1.2961634559781048
60,5.113036350934505
61,0.25474868889378677
62,0.5093618421085281
63,10.763580798483932
64,0.4280603933021361
65,1.1250961484618265
66,0.7989410622305069
67,0.12713616164479305
68,1.9788007038950508
69,0.498778660515798
70,0.6499812504922768
71,9.856532982105016
72,1.3174737819598896
73,18.483081159060852
74,0.588435687612525
75,25.158557058982673
76,11.236311632299387
77,4.051641474325409
78,0.8318572414682812
79,1.2428621216523343
80,1.4825081537801843
81,1.209293530020949
82,0.4234770568713718
83,10.674697280667722
84,3.457976093493349
85,2.241980659501471
86,0.18278750804835397
87,5.613281924709488
88,0.9469645650466071
89,1.8692134005681678
